Category,Word,Meaning,Phrase,Expressions,Media
literature,Metaphor,Comparison without using 'like' or 'as',Shakespeare used metaphor to compare life to a stage.,That's a beautiful metaphor.; Use metaphor in writing.,
literature,Symbolism,Use of symbols to represent ideas,The dove is a powerful symbolism for peace.,The symbolism is deep.; Look for symbolism.,
literature,Protagonist,Main character in a story,The protagonist overcame many obstacles to achieve success.,The protagonist is brave.; Who's the main protagonist?,
literature,Antagonist,Character who opposes the protagonist,The antagonist created conflict throughout the entire novel.,The antagonist is clever.; Every story needs antagonist.,
literature,Narrative,Spoken or written account of events,The narrative technique made the story compelling.,The narrative flows well.; Create compelling narrative.,
literature,Allegory,Story with hidden meaning,Animal Farm is an allegory about political corruption.,The story is an allegory.; Allegory teaches lessons.,
literature,Irony,Expression of meaning through opposite words,The irony of the situation wasn't lost on observers.,The irony is clear.; Life is full of irony.,
literature,Eloquence,Fluent and persuasive speech or writing,The speaker's eloquence captivated the entire audience.,That's quite eloquence.; This seems eloquence.,
literature,Renaissance,Period of renewed interest in arts,Renaissance literature explored humanistic themes.,Renaissance changed everything.; Study Renaissance art.,
literature,Classical,Representing highest standards of ancient art,Classical literature continues to influence modern writers.,That's quite classical.; This seems classical.,
literature,Contemporary,Belonging to the present time,Contemporary authors address current social issues.,That's quite contemporary.; This seems contemporary.,
literature,Epic,Long narrative poem about heroic deeds,Homer's epic poems influenced Western literature.,It's an epic tale.; That was epic!,
literature,Tragedy,Serious play with unhappy ending,Shakespeare's tragedies explore human nature's darker aspects.,That's quite tragedy.; This seems tragedy.,
literature,Satire,Use of humor to criticize,The satire cleverly exposed political hypocrisy.,The satire is sharp.; Political satire is popular.,
literature,Biography,Account of someone's life,The biography revealed previously unknown details.,That's quite biography.; This seems biography.,
literature,Autobiography,Account of one's own life,Her autobiography became an international bestseller.,That's quite autobiography.; This seems autobiography.,
literature,Anthology,Collection of literary works,The poetry anthology featured works from emerging poets.,That's quite anthology.; This seems anthology.,
literature,Manuscript,Author's original written work,The ancient manuscript was discovered in monastery.,That's quite manuscript.; This seems manuscript.,
literature,Genre,Category of literary composition,Science fiction is her favorite literary genre.,What's your favorite genre?; This genre is popular.,
literature,Critique,Detailed analysis and assessment,The literary critique examined themes and symbolism.,That's quite critique.; This seems critique.,
literature,Theme,Central topic or message in work,The novel's main theme explores love and sacrifice.,Identify the theme.; The theme is universal.,
literature,Plot,Main story or sequence of events,The plot twists kept readers engaged throughout.,The plot thickens.; Follow the plot carefully.,
literature,Setting,Time and place where story occurs,The story's setting in Victorian England adds atmosphere.,The setting is important.; Describe the setting.,
literature,Conflict,Problem or struggle in story,The internal conflict drove the character's development.,Conflict creates tension.; Resolve the conflict.,
literature,Style,Distinctive way of writing,Shakespeare's writing style is recognized worldwide.,Develop your style.; Style makes writing unique.,
literature,Dialogue,Conversation between characters,Realistic dialogue makes characters come alive.,Write natural dialogue.; Dialogue reveals character.,
literature,Mood,Emotional atmosphere of work,The poem's mood shifts from joy to melancholy.,The mood is somber.; Create the right mood.,
literature,Tone,Author's attitude toward subject,The author's tone conveys subtle criticism.,The tone is formal.; Match your tone.,
literature,Imagery,Vivid descriptive language,The poet's imagery appeals to all five senses.,Use powerful imagery.; Imagery enhances meaning.,
literature,Structure,Organization and arrangement of work,The novel's structure alternates between time periods.,Analyze the structure.; Structure supports meaning.,
travel,Expedition,Journey for specific purpose,The Arctic expedition lasted six months.,Join the expedition.; The expedition was dangerous.,
travel,Itinerary,Planned route or journey,Our itinerary includes visits to five different countries.,Plan your itinerary.; The itinerary is packed.,
travel,Excursion,Short journey for pleasure,The day excursion to the winery was delightful.,Take a day excursion.; The excursion was fun.,
travel,Pilgrimage,Journey to sacred place,Thousands make the pilgrimage to the holy site annually.,Go on pilgrimage.; The pilgrimage was meaningful.,
travel,Adventure,Exciting and potentially dangerous experience,Mountain climbing offers adventure and stunning views.,That's quite adventure.; This seems adventure.,
travel,Destination,Place where journey ends,Paris remains the world's most popular tourist destination.,That's quite destination.; This seems destination.,
travel,Accommodation,Place to stay during travel,Book your accommodation well in advance during peak season.,Book accommodation early.; The accommodation is comfortable.,
travel,Transportation,Means of getting from place to place,Public transportation in the city is efficient and affordable.,That's quite transportation.; This seems transportation.,
travel,Immigration,Process of entering foreign country,Immigration procedures can take several hours at busy airports.,That's quite immigration.; This seems immigration.,
travel,Documentation,Official papers required for travel,Ensure all travel documentation is current before departure.,That's quite documentation.; This seems documentation.,
travel,Reservation,Arrangement to secure services,Hotel reservation confirmations should be printed before travel.,That's quite reservation.; This seems reservation.,
travel,Hospitality,Friendly and generous treatment of guests,The local hospitality made our visit truly memorable.,Their hospitality is warm.; Show good hospitality.,
travel,Cosmopolitan,Including people from many countries,New York is a cosmopolitan city with diverse cultures.,It's a cosmopolitan city.; She has cosmopolitan tastes.,
travel,Indigenous,Native to particular region,Indigenous art reflects traditional cultural values.,Meet indigenous people.; Indigenous culture is rich.,
travel,Culinary,Related to cooking and food,The culinary tour introduced us to authentic local dishes.,That's quite culinary.; This seems culinary.,
travel,Architecture,Design and construction of buildings,Gothic architecture dominates the old city center.,That's quite architecture.; This seems architecture.,
travel,Heritage,Traditional customs passed down,UNESCO protects world heritage sites for future generations.,Preserve cultural heritage.; Heritage connects generations.,
travel,Souvenir,Thing kept as reminder of place,Local handicrafts make meaningful souvenirs.,Buy a souvenir.; This souvenir is special.,
travel,Panoramic,Wide unobstructed view,The panoramic view from the tower was breathtaking.,That's quite panoramic.; This seems panoramic.,
travel,Authentic,Genuine and original,Tourists seek authentic experiences in local communities.,That's quite authentic.; This seems authentic.,
travel,Passport,Official document for international travel,Check that your passport is valid before traveling abroad.,Show your passport.; Renew your passport.,
travel,Visa,Permission to enter foreign country,Apply for a tourist visa at least a month early.,Get a visa.; Visa requirements vary.,
travel,Currency,Money used in particular country,Exchange your currency at the airport or bank.,Exchange currency.; Foreign currency is needed.,
travel,Landmark,Famous building or location,The Eiffel Tower is Paris's most famous landmark.,Visit famous landmarks.; The landmark is impressive.,
travel,Customs,Officials who check goods at borders,Declare valuable items when passing through customs.,Go through customs.; Customs checked luggage.,
travel,Luggage,Bags and cases for travel,Pack light luggage to avoid extra airline fees.,Check your luggage.; Luggage was delayed.,
travel,Schedule,Plan showing times of activities,Check the flight schedule for any changes.,Follow the schedule.; Schedule changes often.,
travel,Recreation,Activities done for enjoyment,The resort offers various recreation activities.,Enjoy recreation time.; Recreation refreshes mind.,
travel,Adventure,Exciting and unusual experience,Mountain hiking offers adventure and exercise.,Seek new adventures.; Adventure builds character.,
travel,Experience,Knowledge gained from doing something,Travel experience broadens your worldview.,Gain valuable experience.; Experience teaches lessons.,
history,Civilization,Advanced stage of human social development,Ancient Greek civilization influenced Western culture.,Ancient civilization fascinates me.; Civilization progresses slowly.,
history,Renaissance,Period of renewed interest in arts and learning,The Renaissance transformed European art and science.,Renaissance changed everything.; Study Renaissance art.,
history,Revolution,Dramatic change in political or social conditions,The Industrial Revolution changed how people worked.,That's quite revolution.; This seems revolution.,
history,Dynasty,Series rulers from same family,The Ming Dynasty ruled China for nearly 300 years.,The dynasty lasted centuries.; Each dynasty had rulers.,
history,Democracy,Government by the people,Ancient Athens is considered birthplace of democracy.,Democracy gives voice.; Protect democratic values.,
history,Monarchy,Government ruled by king or queen,The constitutional monarchy limits royal power.,Monarchy ruled for centuries.; Constitutional monarchy evolved.,
history,Republic,Government where power belongs to people,The Roman Republic preceded the Roman Empire.,Rome was a republic.; Republic represents people.,
history,Constitution,Set of fundamental principles for governance,The constitution guarantees citizens' basic rights.,That's quite constitution.; This seems constitution.,
history,Colonization,Establishing control over foreign territory,European colonization changed indigenous cultures worldwide.,That's quite colonization.; This seems colonization.,
history,Independence,Freedom from outside control,The country celebrated fifty years of independence.,That's quite independence.; This seems independence.,
history,Treaty,Formal agreement between nations,The peace treaty ended decades of conflict.,That's quite treaty.; This seems treaty.,
history,Alliance,Union formed for mutual benefit,Military alliances shaped European politics for centuries.,That's quite alliance.; This seems alliance.,
history,Archaeology,Study of human history through excavation,Archaeology reveals secrets of ancient civilizations.,Archaeology reveals history.; Study archaeology methods.,
history,Artifact,Object made by human in past,The museum displays artifacts from various time periods.,That's quite artifact.; This seems artifact.,
history,Legacy,Something left behind by predecessor,The leader's legacy includes significant social reforms.,Leave a positive legacy.; What's your legacy?,
history,Persecution,Hostility and ill-treatment,Religious persecution forced many people to flee.,Stop religious persecution.; Persecution creates refugees.,
history,Migration,Movement from one place to another,Economic migration shaped modern urban development.,Migration shapes populations.; Study migration patterns.,
history,Feudalism,Medieval social system based on land ownership,Feudalism dominated European society for centuries.,Feudalism dominated Europe.; Feudalism created hierarchy.,
history,Reformation,Movement to reform religious practices,The Protestant Reformation divided European Christianity.,The Reformation split Christianity.; Religious reformation was needed.,
history,Enlightenment,Age of reason and intellectual development,Enlightenment thinkers influenced modern democratic ideals.,The Enlightenment promoted reason.; Enlightenment ideas spread.,
history,Slavery,System where people are owned as property,The abolition of slavery was a moral victory.,Slavery was abolished.; Fight against slavery.,
history,Freedom,State of being free from oppression,The struggle for freedom inspired many movements.,Freedom is precious.; Fight for freedom.,
history,Progress,Forward movement toward better conditions,Social progress improved living conditions for many.,Progress takes time.; Make steady progress.,
history,Society,Community of people living together,Industrial society changed how people worked and lived.,Society evolves constantly.; Society shapes individuals.,
history,Economy,System of trade and money,The agricultural economy supported most families.,Economy affects everyone.; Strong economy prospers.,
history,Politics,Activities related to government,Politics influenced major decisions throughout history.,Politics shapes society.; Understand basic politics.,
history,Leadership,Ability to guide and influence others,Strong leadership helped nations through difficult times.,Leadership requires courage.; Good leadership inspires.,
history,Change,Process of becoming different,Social change often happens gradually over decades.,Change is constant.; Embrace positive change.,
history,Heritage,Traditions passed down from ancestors,Cultural heritage connects us to our past.,Preserve our heritage.; Heritage defines identity.,
history,Identity,Characteristics that define a group,National identity shapes how people view themselves.,Identity forms gradually.; Cultural identity matters.,
geography,Topography,Physical features of land surface,The region's mountainous topography affects weather patterns.,Study the topography.; Topography affects climate.,
geography,Cartography,Science of making maps,Digital cartography has revolutionized map-making.,Cartography creates maps.; Study cartography techniques.,
geography,Latitude,Distance north or south of equator,Cities at the same latitude often have similar climates.,Check the latitude.; Latitude affects climate.,
geography,Longitude,Distance east or west of prime meridian,"Greenwich, England marks zero degrees longitude.",Determine the longitude.; Longitude shows east-west.,
geography,Hemisphere,Half of Earth divided by equator,Australia is located in the Southern Hemisphere.,We're in northern hemisphere.; Each hemisphere has seasons.,
geography,Archipelago,Group of islands,"The Philippine archipelago consists of over 7,000 islands.",The archipelago has islands.; Indonesia is an archipelago.,
geography,Peninsula,Land surrounded by water on three sides,The Italian peninsula extends into Mediterranean Sea.,Florida is a peninsula.; The peninsula extends seaward.,
geography,Tributary,River flowing into larger river,The Missouri River is the longest tributary of Mississippi.,That's quite tributary.; This seems tributary.,
geography,Watershed,Area draining into river system,The Amazon watershed covers 40% of South America.,Protect the watershed.; The watershed supplies water.,
geography,Plateau,Flat elevated area of land,The Tibetan Plateau is known as 'Roof of World'.,The plateau is elevated.; Drive across the plateau.,
geography,Tectonic,Relating to Earth's structural plates,Tectonic plate movement causes earthquakes and volcanoes.,That's quite tectonic.; This seems tectonic.,
geography,Erosion,Wearing away of soil and rock,Water erosion carved the magnificent Grand Canyon.,That's quite erosion.; This seems erosion.,
geography,Sediment,Matter deposited by water or wind,River sediment creates fertile agricultural deltas.,That's quite sediment.; This seems sediment.,
geography,Precipitation,"Rain, snow, or other moisture falling",Annual precipitation determines regional vegetation types.,Measure precipitation levels.; Precipitation varies seasonally.,
geography,Urbanization,Growth of cities and towns,Rapid urbanization creates environmental challenges.,Urbanization increases rapidly.; Urbanization changes landscapes.,
geography,Migration,Movement of people or animals,Rural-to-urban migration characterizes developing countries.,Migration shapes populations.; Study migration patterns.,
geography,Sustainability,Meeting needs without compromising future,Environmental sustainability requires global cooperation.,That's quite sustainability.; This seems sustainability.,
geography,Biodiversity,Variety of life in ecosystems,Tropical regions have the highest biodiversity levels.,Biodiversity is crucial.; We must preserve biodiversity.,
geography,Deforestation,Clearing forests for other land use,Deforestation contributes to climate change globally.,That's quite deforestation.; This seems deforestation.,
geography,Globalization,Worldwide integration of economies,Globalization connects distant places through trade.,That's quite globalization.; This seems globalization.,
geography,Environment,Natural world surrounding us,Protecting the environment ensures future sustainability.,Environment needs protection.; Clean environment is vital.,
geography,Resources,Materials available for use,"Natural resources include water, oil, and minerals.",Conserve natural resources.; Resources are limited.,
geography,Agriculture,Practice of farming crops and animals,Agriculture provides food for growing populations.,Agriculture feeds nations.; Modern agriculture uses technology.,
geography,Industry,Economic activity involving manufacturing,Heavy industry developed near sources of raw materials.,Industry creates jobs.; Industry drives economy.,
geography,Trade,Exchange of goods between places,International trade connects countries economically.,Trade benefits everyone.; Global trade increases.,
geography,Development,Process of growth and improvement,Economic development improves living standards.,Development takes time.; Sustainable development is key.,
geography,Culture,Way of life of group of people,Geographic isolation helped preserve unique cultures.,Culture shapes identity.; Respect different cultures.,
geography,Region,Area with similar characteristics,"The Mediterranean region has a warm, dry climate.",Each region differs.; Study the region carefully.,
geography,Location,Particular place or position,The city's location near the harbor aided trade.,Location matters.; Find the exact location.,
geography,Distance,Space between two places,The distance between cities affects transportation costs.,Measure the distance.; Distance creates challenges.,
health,Cardiovascular,Related to heart and blood vessels,Regular exercise improves cardiovascular health significantly.,Cardiovascular health is vital.; Exercise benefits cardiovascular system.,
health,Immune,Protected against disease,A strong immune system fights off infections naturally.,That's quite immune.; This seems immune.,
health,Metabolism,Chemical processes converting food to energy,Age and activity level affect metabolism rates.,Boost your metabolism.; Metabolism converts food to energy.,
health,Chronic,Long-lasting or recurring medical condition,Diabetes is a chronic condition requiring daily management.,Manage chronic conditions.; Chronic illness requires care.,
health,Diagnosis,Identification of disease or condition,Early diagnosis improves treatment success rates.,Get accurate diagnosis.; Early diagnosis saves lives.,
health,Therapy,Treatment to heal disorder,Physical therapy helped restore mobility after injury.,That's quite therapy.; This seems therapy.,
health,Rehabilitation,Process of recovery after illness,Cardiac rehabilitation programs prevent future heart problems.,Rehabilitation takes time.; Physical rehabilitation helps recovery.,
health,Immunization,Process of making immune to disease,Childhood immunization prevents serious infectious diseases.,Get proper immunization.; Immunization prevents disease.,
health,Epidemic,Widespread occurrence of infectious disease,The flu epidemic affected thousands of people.,Prevent epidemic spread.; The epidemic was contained.,
health,Pharmaceutical,Related to medicinal drugs,Pharmaceutical research develops new treatments constantly.,Pharmaceutical research advances.; Take pharmaceutical advice.,
health,Holistic,Considering whole person in treatment,Holistic medicine addresses physical and emotional health.,Take holistic approach.; Holistic medicine treats whole person.,
health,Wellness,Active pursuit of healthy lifestyle,Corporate wellness programs reduce employee healthcare costs.,Focus on total wellness.; Wellness includes mental health.,
health,Preventive,Designed to prevent disease,Preventive care includes regular screenings and checkups.,Preventive care is important.; Take preventive measures.,
health,Therapeutic,Having healing properties,The therapeutic massage relieved chronic back pain.,Therapeutic massage helps.; This has therapeutic value.,
health,Pathology,Study of disease and its effects,Pathology reports help doctors determine treatment plans.,That's quite pathology.; This seems pathology.,
health,Prognosis,Likely course of medical condition,The patient's prognosis improved with new treatment.,The prognosis is good.; Doctor explained prognosis.,
health,Antibiotics,Medicines that fight bacterial infections,Overuse of antibiotics creates drug-resistant bacteria.,That's quite antibiotics.; This seems antibiotics.,
health,Psychiatry,Branch of medicine dealing with mental health,Psychiatry combines medication and therapy for treatment.,That's quite psychiatry.; This seems psychiatry.,
health,Nutrition,Process of obtaining food for health,Proper nutrition supports optimal physical development.,That's quite nutrition.; This seems nutrition.,
health,Physiology,Study of body functions,Exercise physiology explains how muscles adapt to training.,That's quite physiology.; This seems physiology.,
health,Immunity,Body's ability to resist disease,Strong immunity helps fight off infections naturally.,Build your immunity.; Immunity protects health.,
health,Infection,Disease caused by harmful organisms,Wash hands regularly to prevent infection spread.,Prevent infection.; Infection can spread quickly.,
health,Surgery,Medical operation to treat disease,Heart surgery has become much safer with technology.,Surgery was successful.; Surgery requires expertise.,
health,Medicine,Science of diagnosing and treating disease,Modern medicine has extended human lifespan significantly.,Medicine advances rapidly.; Practice evidence-based medicine.,
health,Patient,Person receiving medical care,The patient responded well to the new treatment.,The patient is recovering.; Patient care is priority.,
health,Symptoms,Signs indicating presence of disease,Early symptoms often help doctors diagnose problems.,Monitor symptoms carefully.; Symptoms guide treatment.,
health,Healthy,In good physical condition,Healthy lifestyle choices prevent many diseases.,Stay healthy.; Healthy living matters.,
health,Disease,Disorder affecting body function,Heart disease remains the leading cause of death.,Prevent heart disease.; Disease affects quality.,
health,Emergency,Serious medical situation requiring immediate attention,The emergency room treats life-threatening conditions.,Call for emergency help.; Emergency care saves lives.,
health,Safety,Protection from harm or danger,Workplace safety programs reduce injury rates significantly.,Safety comes first.; Practice safety always.,
